experiment,display_name,group,fold,window_accuracy,window_macro_f1,window_precision,window_recall,best_session_method,session_accuracy,session_macro_f1,session_precision,session_recall,best_epoch
hcaf_confgate_residual_5s,HCAF confgate+residual 5 s,main,repeat1_fold1,0.7779069767441861,0.7682431448386643,0.8335422714876396,0.7798761805842519,majority_voting,0.8333333333333334,0.8222222222222223,0.8333333333333334,0.8888888888888888,1
hcaf_confgate_residual_5s,HCAF confgate+residual 5 s,main,repeat1_fold2,0.6613636363636364,0.5497934408825498,0.6644736842105263,0.49480968858131485,majority_voting,0.8333333333333334,0.6190476190476191,0.6666666666666666,0.5833333333333334,1
hcaf_confgate_residual_5s,HCAF confgate+residual 5 s,main,repeat1_fold3,0.6741154562383612,0.7053195560658247,0.7978047371461582,0.7935103244837758,majority_voting,0.8333333333333334,0.8222222222222223,0.8333333333333334,0.8888888888888888,8
hcaf_confgate_residual_10s,HCAF confgate+residual 10 s,main,repeat1_fold1,0.6682242990654206,0.6271809208939269,0.8009049773755655,0.6567884426291506,logit_averaging,0.6666666666666666,0.6666666666666666,0.7777777777777777,0.7777777777777777,1
hcaf_confgate_residual_10s,HCAF confgate+residual 10 s,main,repeat1_fold2,0.725,0.5286446615506313,0.5800653594771242,0.5271049596309112,logit_averaging,0.8333333333333334,0.6190476190476191,0.6666666666666666,0.5833333333333334,2
hcaf_confgate_residual_10s,HCAF confgate+residual 10 s,main,repeat1_fold3,0.8190298507462687,0.8279922005989109,0.8367355874371906,0.8841607565011821,logit_averaging,1.0,1.0,1.0,1.0,4
hcaf_confgate_residual_20s,HCAF confgate+residual 20 s,main,repeat1_fold1,0.7971698113207547,0.7725065889859897,0.8512508451656524,0.7813808184942205,majority_voting,0.8333333333333334,0.8222222222222223,0.8333333333333334,0.8888888888888888,2
hcaf_confgate_residual_20s,HCAF confgate+residual 20 s,main,repeat1_fold2,0.5844748858447488,0.5126903553299492,0.6666666666666666,0.45601851851851855,majority_voting,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5,2
hcaf_confgate_residual_20s,HCAF confgate+residual 20 s,main,repeat1_fold3,0.9887218045112782,0.9880077435000282,0.993006993006993,0.9833333333333334,majority_voting,1.0,1.0,1.0,1.0,6
