session,window_index,start_sec,expected_label,board_label,board_prob_0,board_prob_2,board_prob_4,board_prob_max,board_prob_argmax
MMdata_1136.50s_0327_183428_2ml,0,0.0,2,2,0.0006906613707542419,0.9963229894638062,0.0029863445088267326,0.9963229894638062,2
MMdata_1136.50s_0327_183428_2ml,1,5.0,2,2,0.0006587771931663156,0.9952681660652161,0.004073060117661953,0.9952681660652161,2
MMdata_1136.50s_0327_183428_2ml,2,10.0,2,2,0.0006016837432980537,0.9919705390930176,0.0074277338571846485,0.9919705390930176,2
MMdata_1136.50s_0327_183428_2ml,3,15.0,2,2,0.0007131163729354739,0.9959207773208618,0.003366071730852127,0.9959207773208618,2
MMdata_1136.50s_0327_183428_2ml,4,20.0,2,2,0.0006605788948945701,0.9940045475959778,0.005334893707185984,0.9940045475959778,2
MMdata_1136.50s_0327_183428_2ml,5,25.0,2,2,0.0006581805064342916,0.9945317506790161,0.0048099360428750515,0.9945317506790161,2
MMdata_1136.50s_0327_183428_2ml,6,30.0,2,2,0.0006198087939992547,0.9904148578643799,0.008965286426246166,0.9904148578643799,2
MMdata_1136.50s_0327_183428_2ml,7,35.0,2,2,0.0007385870558209717,0.9968206882476807,0.0024408160243183374,0.9968206882476807,2
MMdata_1136.50s_0327_183428_2ml,8,40.0,2,2,0.0006628461414948106,0.9934158325195312,0.005921344738453627,0.9934158325195312,2
MMdata_1136.50s_0327_183428_2ml,9,45.0,2,2,0.0006714079645462334,0.9963546991348267,0.002973922761157155,0.9963546991348267,2
MMdata_1136.50s_0327_183428_2ml,10,50.0,2,2,0.0006296822684817016,0.9897449612617493,0.009625405073165894,0.9897449612617493,2
MMdata_1136.50s_0327_183428_2ml,11,55.0,2,2,0.0008301381603814662,0.9961292743682861,0.003040523733943701,0.9961292743682861,2
MMdata_1136.50s_0327_183428_2ml,12,60.0,2,2,0.0006723341648466885,0.9956821203231812,0.0036455390509217978,0.9956821203231812,2
MMdata_1136.50s_0327_183428_2ml,13,65.0,2,2,0.000717481249012053,0.9968830347061157,0.0023995889350771904,0.9968830347061157,2
MMdata_1136.50s_0327_183428_2ml,14,70.0,2,2,0.0006117896409705281,0.9930828809738159,0.006305318791419268,0.9930828809738159,2
MMdata_1136.50s_0327_183428_2ml,15,75.0,2,2,0.0009609210537746549,0.9937806725502014,0.005258480552583933,0.9937806725502014,2
MMdata_1136.50s_0327_183428_2ml,16,80.0,2,2,0.000672639871481806,0.9949002861976624,0.004427111707627773,0.9949002861976624,2
MMdata_1136.50s_0327_183428_2ml,17,85.0,2,2,0.0006616594037041068,0.9948939085006714,0.004444397985935211,0.9948939085006714,2
MMdata_1136.50s_0327_183428_2ml,18,90.0,2,2,0.0006171177956275642,0.9900258779525757,0.009356986731290817,0.9900258779525757,2
MMdata_1136.50s_0327_183428_2ml,19,95.0,2,2,0.0008105626911856234,0.9969151020050049,0.002274267142638564,0.9969151020050049,2
MMdata_1136.50s_0327_183428_2ml,20,100.0,2,2,0.0007176885264925659,0.9962257146835327,0.003056599758565426,0.9962257146835327,2
MMdata_1136.50s_0327_183428_2ml,21,105.0,2,2,0.000635778356809169,0.9958842396736145,0.003479997394606471,0.9958842396736145,2
MMdata_1136.50s_0327_183428_2ml,22,110.0,2,2,0.0006401436985470355,0.9886485934257507,0.010711269453167915,0.9886485934257507,2
MMdata_1136.50s_0327_183428_2ml,23,115.0,2,2,0.0007942614029161632,0.9969384670257568,0.0022673048079013824,0.9969384670257568,2
MMdata_1136.50s_0327_183428_2ml,24,120.0,2,2,0.0006934307748451829,0.9951674938201904,0.00413911510258913,0.9951674938201904,2
MMdata_1136.50s_0327_183428_2ml,25,125.0,2,2,0.0006608364637941122,0.9967005848884583,0.0026385111268609762,0.9967005848884583,2
MMdata_1136.50s_0327_183428_2ml,26,130.0,2,2,0.000605767301749438,0.9910599589347839,0.008334322832524776,0.9910599589347839,2
MMdata_1136.50s_0327_183428_2ml,27,135.0,2,2,0.000738616450689733,0.9953025579452515,0.0039588981308043,0.9953025579452515,2
MMdata_1136.50s_0327_183428_2ml,28,140.0,2,2,0.0006876328261569142,0.9946277737617493,0.004684635438024998,0.9946277737617493,2
MMdata_1136.50s_0327_183428_2ml,29,145.0,2,2,0.0007393464329652488,0.9968782663345337,0.0023823631927371025,0.9968782663345337,2
MMdata_1136.50s_0327_183428_2ml,30,150.0,2,2,0.0005942911957390606,0.9924601912498474,0.0069455732591450214,0.9924601912498474,2
MMdata_1136.50s_0327_183428_2ml,31,155.0,2,2,0.000939057266805321,0.9955917000770569,0.0034692378249019384,0.9955917000770569,2
MMdata_1136.50s_0327_183428_2ml,32,160.0,2,2,0.0006625333335250616,0.9959681034088135,0.003369438461959362,0.9959681034088135,2
MMdata_1136.50s_0327_183428_2ml,33,165.0,2,2,0.0007623276906087995,0.9871305823326111,0.012107085436582565,0.9871305823326111,2
