session,window_index,start_sec,expected_label,pc_label,prediction_matches,pc_prob_0,pc_prob_2,pc_prob_4,pc_prob_max,pc_prob_argmax
MMdata_1136.50s_0327_183428_2ml,0,0.0,2,2,True,0.0006906616617925465,0.9963229894638062,0.0029863230884075165,0.9963229894638062,2
MMdata_1136.50s_0327_183428_2ml,1,5.0,2,2,True,0.0006587784737348557,0.9952681660652161,0.00407301913946867,0.9952681660652161,2
MMdata_1136.50s_0327_183428_2ml,2,10.0,2,2,True,0.0006016832194291055,0.9919706583023071,0.007427691947668791,0.9919706583023071,2
MMdata_1136.50s_0327_183428_2ml,3,15.0,2,2,True,0.0007131184102036059,0.9959207773208618,0.0033660426270216703,0.9959207773208618,2
MMdata_1136.50s_0327_183428_2ml,4,20.0,2,2,True,0.0006605786620639265,0.9940043091773987,0.005335068330168724,0.9940043091773987,2
MMdata_1136.50s_0327_183428_2ml,5,25.0,2,2,True,0.000658179575111717,0.9945317506790161,0.004809986334294081,0.9945317506790161,2
MMdata_1136.50s_0327_183428_2ml,6,30.0,2,2,True,0.0006198091432452202,0.9904148578643799,0.008965304121375084,0.9904148578643799,2
MMdata_1136.50s_0327_183428_2ml,7,35.0,2,2,True,0.0007385874050669372,0.9968206882476807,0.0024408134631812572,0.9968206882476807,2
MMdata_1136.50s_0327_183428_2ml,8,40.0,2,2,True,0.0006628455594182014,0.9934159517288208,0.005921277683228254,0.9934159517288208,2
MMdata_1136.50s_0327_183428_2ml,9,45.0,2,2,True,0.000671408895868808,0.9963546991348267,0.002973901340737939,0.9963546991348267,2
MMdata_1136.50s_0327_183428_2ml,10,50.0,2,2,True,0.0006296819192357361,0.9897448420524597,0.009625490754842758,0.9897448420524597,2
MMdata_1136.50s_0327_183428_2ml,11,55.0,2,2,True,0.0008301421767100692,0.9961292743682861,0.003040512092411518,0.9961292743682861,2
MMdata_1136.50s_0327_183428_2ml,12,60.0,2,2,True,0.000672333815600723,0.9956821203231812,0.0036455285735428333,0.9956821203231812,2
MMdata_1136.50s_0327_183428_2ml,13,65.0,2,2,True,0.0007174845086410642,0.9968829154968262,0.0023995840456336737,0.9968829154968262,2
MMdata_1136.50s_0327_183428_2ml,14,70.0,2,2,True,0.0006117894663475454,0.993083119392395,0.006305104121565819,0.993083119392395,2
MMdata_1136.50s_0327_183428_2ml,15,75.0,2,2,True,0.0009609229164198041,0.9937806725502014,0.005258457735180855,0.9937806725502014,2
MMdata_1136.50s_0327_183428_2ml,16,80.0,2,2,True,0.0006726411520503461,0.9949002861976624,0.004427145700901747,0.9949002861976624,2
MMdata_1136.50s_0327_183428_2ml,17,85.0,2,2,True,0.0006616607424803078,0.9948940277099609,0.004444368649274111,0.9948940277099609,2
MMdata_1136.50s_0327_183428_2ml,18,90.0,2,2,True,0.0006171184359118342,0.9900258779525757,0.009356973692774773,0.9900258779525757,2
MMdata_1136.50s_0327_183428_2ml,19,95.0,2,2,True,0.000810567697044462,0.9969151020050049,0.0022742648143321276,0.9969151020050049,2
MMdata_1136.50s_0327_183428_2ml,20,100.0,2,2,True,0.0007176861399784684,0.9962257146835327,0.0030566351488232613,0.9962257146835327,2
MMdata_1136.50s_0327_183428_2ml,21,105.0,2,2,True,0.0006357774254865944,0.9958842396736145,0.0034799787681549788,0.9958842396736145,2
MMdata_1136.50s_0327_183428_2ml,22,110.0,2,2,True,0.0006401437567546964,0.9886487126350403,0.010711128823459148,0.9886487126350403,2
