session,window_index,start_sec,expected_label,board_label,board_prob_argmax,local_label,local_prob_argmax,prediction_matches_board,board_prob_0,local_prob_0,delta_prob_0,board_relative_logit_0,local_relative_logit_0,delta_relative_logit_0,board_prob_2,local_prob_2,delta_prob_2,board_relative_logit_2,local_relative_logit_2,delta_relative_logit_2,board_prob_4,local_prob_4,delta_prob_4,board_relative_logit_4,local_relative_logit_4,delta_relative_logit_4
MMdata_1136.50s_0327_183428_2ml,0,0.0,2,4,4,2,2,0,0.00016504491213709116,0.0006906616617925465,0.0005256167496554554,-4.27390893445336,-2.9127749358120534,1.3611339986413062,0.010188953951001167,0.9963229894638062,0.986134035512805,-0.15106709960352038,4.361401766549745,4.512468866153266,0.9896460175514221,0.0029863230884075165,-0.9866596944630146,4.424976034056879,-1.448626830737692,-5.873602864794571
MMdata_1136.50s_0327_183428_2ml,1,5.0,2,4,4,2,2,0,7.333025860134512e-05,0.0006587784737348557,0.0005854482151335105,-4.493052954792991,-3.047377551530965,1.445675403262026,0.0038565665017813444,0.9952681660652161,0.9914115995634347,-0.5304937241327963,4.273002619123496,4.803496343256293,0.996070146560669,0.00407301913946867,-0.9919971274212003,5.023546678925788,-1.2256250675925306,-6.249171746518319
MMdata_1136.50s_0327_183428_2ml,2,10.0,2,4,4,2,2,0,7.611007458763197e-05,0.0006016832194291055,0.0005255731448414735,-4.4933026799584415,-3.306985690290266,1.1863169896681756,0.004158887080848217,0.9919706583023071,0.9878117712214589,-0.4924805334141711,4.100732023978054,4.593212557392225,0.995764970779419,0.007427691947668791,-0.9883372788317502,4.9857832133726125,-0.7937463336877864,-5.779529547060399
MMdata_1136.50s_0327_183428_2ml,3,15.0,2,4,4,2,2,0,9.10798626136966e-05,0.0007131184102036059,0.0006220385475899093,-4.423697160251039,-2.9312070238485166,1.4924901364025223,0.004836731124669313,0.9959207773208618,0.9910840461961925,-0.45143950896311846,4.310568488869666,4.762007997832784,0.9950721859931946,0.0033660426270216703,-0.9917061433661729,4.8751366692141564,-1.3793614650211499,-6.254498134235306
MMdata_1136.50s_0327_183428_2ml,4,20.0,2,4,4,2,2,0,0.00017737914458848536,0.0006605786620639265,0.0004831995174754411,-4.2617711878340465,-3.135107123063124,1.1266640647709227,0.011361525394022465,0.9940043091773987,0.9826427837833762,-0.10207272838712722,4.181273486161484,4.283346214548612,0.9884611368179321,0.005335068330168724,-0.9831260684877634,4.363843916221175,-1.0461663630983606,-5.410010279319535
MMdata_1136.50s_0327_183428_2ml,5,25.0,2,4,4,2,2,0,7.646503217983991e-05,0.000658179575111717,0.0005817145429318771,-4.498773588714562,-3.1031737386134743,1.395599850101088,0.0042677028104662895,0.9945317506790161,0.9902640478685498,-0.47677615139833573,4.2173757598304284,4.694151911228764,0.9956557750701904,0.004809986334294081,-0.9908457887358963,4.975549740112897,-1.114202021216954,-6.089751761329851
MMdata_1136.50s_0327_183428_2ml,6,30.0,2,4,4,2,2,0,7.62939962442033e-05,0.0006198091432452202,0.0005435151470010169,-4.478070606098062,-3.349391098995727,1.1286795071023352,0.003991674166172743,0.9904148578643799,0.9864231836982071,-0.5206988427092023,4.0270764865134305,4.547775329222633,0.9959320425987244,0.008965304121375084,-0.9869667384773493,4.998769448807265,-0.6776853875177027,-5.676454836324968
MMdata_1136.50s_0327_183428_2ml,7,35.0,2,4,4,2,2,0,8.859562512952834e-05,0.0007385874050669372,0.0006499917799374089,-4.4204877730906755,-2.80097797702493,1.6195097960657456,0.004531227983534336,0.9968206882476807,0.9922894602641463,-0.4858219919270619,4.4066087546057435,4.892430746532805,0.995380163192749,0.0024408134631812572,-0.9929393497295678,4.906309765017737,-1.6056307775808127,-6.51194054259855
MMdata_1136.50s_0327_183428_2ml,8,40.0,2,4,4,2,2,0,0.0001743265165714547,0.0006628455594182014,0.0004885190428467467,-4.255495698263782,-3.167376075567905,1.088119622695877,0.010762615129351616,0.9934159517288208,0.9826533365994692,-0.13259192506430217,4.14498664267161,4.277578567735913,0.9890630841255188,0.005921277683228254,-0.9831418064422905,4.388087623328086,-0.9776105671037065,-5.365698190431792
MMdata_1136.50s_0327_183428_2ml,9,45.0,2,4,4,2,2,0,7.708474004175514e-05,0.000671408895868808,0.0005943241558270529,-4.489648153365355,-2.9302439603214365,1.5594041930439184,0.004219832830131054,0.9963546991348267,0.9921348663046956,-0.48700269758121006,4.372236302289389,4.859238999870599,0.9957030415534973,0.002973901340737939,-0.9927291402127594,4.976650850946566,-1.4419923419679517,-6.418643192914518
MMdata_1136.50s_0327_183428_2ml,10,50.0,2,4,4,2,2,0,7.212186028482392e-05,0.0006296819192357361,0.0005575600589509122,-4.4911607329479954,-3.3623143317985926,1.1288464011494028,0.0037088387180119753,0.9897448420524597,0.9860360033344477,-0.5510438326597429,3.997673320008537,4.54871715266828,0.9962190985679626,0.009625490754842758,-0.9865936078131199,5.042204565607739,-0.6353589882099433,-5.6775635538176825
MMdata_1136.50s_0327_183428_2ml,11,55.0,2,4,4,2,2,0,8.188045467250049e-05,0.0008301421767100692,0.0007482617220375687,-4.42524703812708,-2.7960731955426077,1.6291738425844722,0.003923599608242512,0.9961292743682861,0.9922056747600436,-0.5557425729738403,4.293962142782137,4.849704715755977,0.9959944486618042,0.003040512092411518,-0.9929539365693927,4.980989611100919,-1.49788894723953,-6.478878558340449
MMdata_1136.50s_0327_183428_2ml,12,60.0,2,4,4,2,2,0,0.00018380465917289257,0.000672333815600723,0.0004885291564278305,-4.238387725469763,-2.996976681130266,1.2414110443394968,0.011373304761946201,0.9956821203231812,0.984308815561235,-0.1132370834193166,4.303451681603385,4.416688765022702,0.9884428381919861,0.0036455285735428333,-0.9847973096184433,4.35162480888908,-1.3064750004731183,-5.658099809362199
MMdata_1136.50s_0327_183428_2ml,13,65.0,2,4,4,2,2,0,7.094888132996857e-05,0.0007174845086410642,0.0006465356273110956,-4.499468475941053,-2.8146455263057097,1.6848229496353433,0.003679645946249366,0.9968829154968262,0.9932032695505768,-0.5508562961271846,4.421991722271877,4.972848018399062,0.9962493777275085,0.0023995840456336737,-0.9938497936818749,5.050324772068237,-1.6073461959661683,-6.657670968034405
MMdata_1136.50s_0327_183428_2ml,14,70.0,2,4,4,2,2,0,7.63994175940752e-05,0.0006117894663475454,0.0005353900487534702,-4.475012815084578,-3.2416359930199077,1.2333768220646704,0.003966060932725668,0.993083119392395,0.9891170584596694,-0.5254592153785866,4.150545437742471,4.6760046531210575,0.9959575533866882,0.006305104121565819,-0.9896524492651224,5.000472030463166,-0.9089094447225623,-5.909381475185728
