session,window_index,start_sec,expected_label,board_label,board_prob_argmax,local_label,local_prob_argmax,prediction_matches_board,board_prob_0,local_prob_0,delta_prob_0,board_relative_logit_0,local_relative_logit_0,delta_relative_logit_0,board_prob_2,local_prob_2,delta_prob_2,board_relative_logit_2,local_relative_logit_2,delta_relative_logit_2,board_prob_4,local_prob_4,delta_prob_4,board_relative_logit_4,local_relative_logit_4,delta_relative_logit_4
MMdata_1136.50s_0327_183428_2ml,0,0.0,2,4,4,2,2,0,0.00016902411880437285,0.0006906616617925465,0.0005216375429881737,-4.268569494325582,-2.9127749358120534,1.3557945585135283,0.010519933886826038,0.9963229894638062,0.9858030555769801,-0.1375837121349246,4.361401766549745,4.49898547868467,0.9893110990524292,0.0029863230884075165,-0.9863247759640217,4.406153206460506,-1.448626830737692,-5.854780037198198
MMdata_1136.50s_0327_183428_2ml,1,5.0,2,4,4,2,2,0,7.330522930715233e-05,0.0006587784737348557,0.0005854732444277033,-4.493281327056262,-3.047377551530965,1.4459037755252968,0.003856575582176447,0.9952681660652161,0.9914115904830396,-0.5303783607383812,4.273002619123496,4.803380979861878,0.996070146560669,0.00407301913946867,-0.9919971274212003,5.023659687794641,-1.2256250675925306,-6.249284755387172
MMdata_1136.50s_0327_183428_2ml,2,10.0,2,4,4,2,2,0,7.852159615140408e-05,0.0006016832194291055,0.0005231616232777014,-4.491727961745311,-3.306985690290266,1.184742271455045,0.004406853578984737,0.9919706583023071,0.9875638047233224,-0.464185419262809,4.100732023978054,4.564917443240863,0.9955145716667175,0.007427691947668791,-0.9880868797190487,4.95591338100812,-0.7937463336877864,-5.749659714695906
MMdata_1136.50s_0327_183428_2ml,3,15.0,2,4,4,2,2,0,9.121958282776177e-05,0.0007131184102036059,0.0006218988273758441,-4.423490673081207,-2.9312070238485166,1.4922836492326903,0.004848636221140623,0.9959207773208618,0.9910721410997212,-0.45030751822782733,4.310568488869666,4.760876007097493,0.99506014585495,0.0033660426270216703,-0.9916941032279283,4.8737981913090325,-1.3793614650211499,-6.253159656330182
MMdata_1136.50s_0327_183428_2ml,4,20.0,2,4,4,2,2,0,0.0001805117935873568,0.0006605786620639265,0.00048006686847656965,-4.258426660389913,-3.135107123063124,1.1233195373267888,0.011652372777462006,0.9940043091773987,0.9823519363999367,-0.09095766432180064,4.181273486161484,4.272231150483285,0.9881671071052551,0.005335068330168724,-0.9828320387750864,4.349384324711712,-1.0461663630983606,-5.395550687810073
MMdata_1136.50s_0327_183428_2ml,5,25.0,2,4,4,2,2,0,7.555984484497458e-05,0.000658179575111717,0.0005826197302667424,-4.500304576255237,-3.1031737386134743,1.3971308376417628,0.0041860961355268955,0.9945317506790161,0.9903456545434892,-0.4857056967782194,4.2173757598304284,4.703081456608648,0.9957383871078491,0.004809986334294081,-0.990928400773555,4.986010273033457,-1.114202021216954,-6.100212294250411
MMdata_1136.50s_0327_183428_2ml,6,30.0,2,4,4,2,2,0,7.883180660428479e-05,0.0006198091432452202,0.0005409773366409354,-4.476226736828183,-3.349391098995727,1.126835637832456,0.004239201080054045,0.9904148578643799,0.9861756567843258,-0.4914131834063671,4.0270764865134305,4.518489669919798,0.9956820011138916,0.008965304121375084,-0.9867166969925165,4.967639920234551,-0.6776853875177027,-5.645325307752254
MMdata_1136.50s_0327_183428_2ml,7,35.0,2,4,4,2,2,0,8.620284643257037e-05,0.0007385874050669372,0.0006523845586343668,-4.421313653747496,-2.80097797702493,1.6203356767225658,0.004299405496567488,0.9968206882476807,0.9925212827511132,-0.511784816620354,4.4066087546057435,4.9183935712260975,0.9956144094467163,0.0024408134631812572,-0.993173595983535,4.9330984703678515,-1.6056307775808127,-6.538729247948664
MMdata_1136.50s_0327_183428_2ml,8,40.0,2,4,4,2,2,0,0.00017826752446126193,0.0006628455594182014,0.0004845780349569395,-4.249329749861717,-3.167376075567905,1.0819536742938123,0.011051737703382969,0.9934159517288208,0.9823642140254378,-0.12227216546497299,4.14498664267161,4.267258808136583,0.9887700080871582,0.005921277683228254,-0.98284873040393,4.371601915326689,-0.9776105671037065,-5.349212482430396
MMdata_1136.50s_0327_183428_2ml,9,45.0,2,4,4,2,2,0,7.545202242909e-05,0.000671408895868808,0.000595956873439718,-4.491588611388622,-2.9302439603214365,1.5613446510671851,0.004065935965627432,0.9963546991348267,0.9922887631691992,-0.5046863558097536,4.372236302289389,4.876922658099143,0.9958586096763611,0.002973901340737939,-0.9928847083356231,4.996274967198375,-1.4419923419679517,-6.438267309166327
MMdata_1136.50s_0327_183428_2ml,10,50.0,2,4,4,2,2,0,7.487933908123523e-05,0.0006296819192357361,0.0005548025801545009,-4.489674094673852,-3.3623143317985926,1.1273597628752592,0.003981173969805241,0.9897448420524597,0.9857636680826545,-0.5162200783599085,3.997673320008537,4.513893398368445,0.9959439635276794,0.009625490754842758,-0.9863184727728367,5.005894173033759,-0.6353589882099433,-5.641253161243703
MMdata_1136.50s_0327_183428_2ml,11,55.0,2,4,4,2,2,0,8.223242912208661e-05,0.0008301421767100692,0.0007479097475879826,-4.425187278072856,-2.7960731955426077,1.629114082530248,0.00395682780072093,0.9961292743682861,0.9921724465675652,-0.5515390943975262,4.293962142782137,4.845501237179663,0.9959610104560852,0.003040512092411518,-0.9929204983636737,4.976726372470383,-1.49788894723953,-6.474615319709913
MMdata_1136.50s_0327_183428_2ml,12,60.0,2,4,4,2,2,0,0.0001890840649139136,0.000672333815600723,0.0004832497506868094,-4.233732909714891,-2.996976681130266,1.2367562285846248,0.011875221505761147,0.9956821203231812,0.98380689881742,-0.09371533194441728,4.303451681603385,4.3971670135478025,0.9879356622695923,0.0036455285735428333,-0.9842901336960495,4.327448241659308,-1.3064750004731183,-5.633923242132426
MMdata_1136.50s_0327_183428_2ml,13,65.0,2,4,4,2,2,0,6.908773502800614e-05,0.0007174845086410642,0.000648396773613058,-4.50117683049446,-2.8146455263057097,1.6865313041887502,0.0035064390394836664,0.9968829154968262,0.9933764764573425,-0.5741977667151534,4.421991722271877,4.996189488987031,0.9964244961738586,0.0023995840456336737,-0.994024912128225,5.075374597209614,-1.6073461959661683,-6.682720793175783
MMdata_1136.50s_0327_183428_2ml,14,70.0,2,4,4,2,2,0,7.847553206374869e-05,0.0006117894663475454,0.0005333139342837967,-4.473704627651698,-3.2416359930199077,1.2320686346317906,0.004169008694589138,0.993083119392395,0.9889141106978059,-0.5010579469860126,4.150545437742471,4.6516033847284834,0.9957525730133057,0.006305104121565819,-0.9894474688917398,4.974762574637708,-0.9089094447225623,-5.8836720193602705
MMdata_1136.50s_0327_183428_2ml,15,75.0,2,4,4,2,2,0,8.345884998561814e-05,0.0009609229164198041,0.000877464066434186,-4.421672198777826,-2.880358826203487,1.541313372574339,0.004033294040709734,0.9937806725502014,0.9897473785094917,-0.5436871937216674,4.0610187898190695,4.604705983540737,0.9958832263946533,0.005258457735180855,-0.9906247686594725,4.9653593924994945,-1.1806599636155823,-6.146019356115077
MMdata_1136.50s_0327_183428_2ml,16,80.0,2,4,4,2,2,0,0.00017297829617746174,0.0006726411520503461,0.0004996628558728844,-4.259120942583938,-3.0611613927872314,1.1979595497967068,0.010712101124227047,0.9949002861976624,0.9841881850734353,-0.13315774598832775,4.238024422478403,4.3711821684667305,0.9891148805618286,0.004427145700901747,-0.9846877348609269,4.392278688572265,-1.176863029691173,-5.569141718263438
MMdata_1136.50s_0327_183428_2ml,17,85.0,2,4,4,2,2,0,5.722188871004619e-05,0.0006616607424803078,0.0006044388537702616,-4.499826412134267,-3.0734262351300075,1.4264001770042594,0.002392980270087719,0.9948940277099609,0.9925010474398732,-0.7664680640465349,4.242212319541739,5.008680383588274,0.997549831867218,0.004444368649274111,-0.9931054632179439,5.266294476180801,-1.1687860844117317,-6.4350805605925325
MMdata_1136.50s_0327_183428_2ml,18,90.0,2,4,4,2,2,0,6.246886914595962e-05,0.0006171184359118342,0.0005546495667658746,-4.535794251953457,-3.366413878321201,1.169380373632256,0.00317942607216537,0.9900258779525757,0.9868464518804103,-0.6060066119067855,4.014011522833266,4.620018134740051,0.9967581629753113,0.009356973692774773,-0.9874011892825365,5.14180086386024,-0.6475976445120644,-5.7893985083723045
MMdata_1136.50s_0327_183428_2ml,19,95.0,2,4,4,2,2,0,8.746611274546012e-05,0.000810567697044462,0.0007231015842990018,-4.4117439762784665,-2.715454429010438,1.6962895472680284,0.004301084205508232,0.9969151020050049,0.9926140177994967,-0.5163730010042453,4.399231600125271,4.915604601129516,0.9956114888191223,0.0022742648143321276,-0.9933372240047902,4.928116977282713,-1.6837771711148317,-6.611894148397544
MMdata_1136.50s_0327_183428_2ml,20,100.0,2,4,4,2,2,0,0.00017104191647376865,0.0007176861399784684,0.0005466442235046998,-4.23869560581855,-2.8949114707831916,1.3437841350353583,0.009842426516115665,0.9962257146835327,0.986383288167417,-0.18614670104799647,4.340785318747621,4.526932019795617,0.9899864792823792,0.0030566351488232613,-0.9869298441335559,4.424842306866546,-1.4458738479644309,-5.870716154830977
MMdata_1136.50s_0327_183428_2ml,21,105.0,2,4,4,2,2,0,7.927905971882865e-05,0.0006357774254865944,0.0005564983657677658,-4.484509138678027,-3.0188235639678487,1.4656855747101787,0.004395999480038881,0.9958842396736145,0.9914882401935756,-0.46903297112947584,4.337714198453798,4.806747169583274,0.9955247640609741,0.0034799787681549788,-0.9920447852928191,4.953542109807501,-1.3188906344859506,-6.272432744293452
MMdata_1136.50s_0327_183428_2ml,22,110.0,2,4,4,2,2,0,5.364305980037898e-05,0.0006401437567546964,0.0005865006969543174,-4.561321698392643,-3.3865824559293434,1.1747392424632994,0.002529419492930174,0.9886487126350403,0.9861192931421101,-0.7079286924782835,3.9558191260148354,4.663747818493119,0.9974169731140137,0.010711128823459148,-0.9867058442905545,5.269250390870926,-0.5692366700854925,-5.838487060956419
MMdata_1136.50s_0327_183428_2ml,23,115.0,2,4,4,2,2,0,7.843240018701181e-05,0.0007942640804685652,0.0007158316802815534,-4.421594940167215,-2.7279853788613124,1.6936095613059026,0.0035595630761235952,0.9969384670257568,0.9933789039496332,-0.6064389649554798,4.407042949051158,5.013481914006638,0.996362030506134,0.0022672973573207855,-0.9940947331488132,5.028033905122696,-1.6790575701898458,-6.7070914753125415
MMdata_1136.50s_0327_183428_2ml,24,120.0,2,4,4,2,2,0,0.00017357763135805726,0.0006934304255992174,0.0005198527942411602,-4.228061396814113,-3.018534426117232,1.2095269706968814,0.00981792714446783,0.9951674938201904,0.9853495666757226,-0.19272104513200805,4.250481000209399,4.443202045341407,0.9900084733963013,0.004139121156185865,-0.9858693522401154,4.420782441946122,-1.2319465740921691,-5.6527290160382915
MMdata_1136.50s_0327_183428_2ml,25,125.0,2,4,4,2,2,0,8.096467354334891e-05,0.0006608355324715376,0.0005798708589281887,-4.48240171806325,-2.901056051658136,1.581345666405114,0.004556768108159304,0.9967005848884583,0.992143816780299,-0.45204574549227416,4.417644643461082,4.869690388953356,0.9953623414039612,0.002638517413288355,-0.9927238239906728,4.934447463555523,-1.5165885918029458,-6.451036055358469
MMdata_1136.50s_0327_183428_2ml,26,130.0,2,4,4,2,2,0,6.347031012410298e-05,0.0006057670107111335,0.0005422967005870305,-4.527417799493599,-3.3405589934161597,1.1868588060774394,0.003200802719220519,0.9910599589347839,0.9878591562155634,-0.6068331318659093,4.059475880163912,4.666309012029822,0.9967357516288757,0.008334322832524776,-0.988401428796351,5.134250931359509,-0.7189168867477527,-5.853167818107262
MMdata_1136.50s_0327_183428_2ml,27,135.0,2,4,4,2,2,0,0.00010233184730168432,0.000738617149181664,0.0006362853018799797,-4.392143867961844,-2.9616528157430633,1.4304910522187804,0.005558255594223738,0.9953025579452515,0.9897443023510277,-0.3973252093223749,4.244369511866536,4.641694721188911,0.9943394064903259,0.003958877641707659,-0.9903805288486183,4.7894690772842194,-1.2827166961234733,-6.072185773407693
MMdata_1136.50s_0327_183428_2ml,28,140.0,2,4,4,2,2,0,0.0001563268742756918,0.0006876321276649833,0.0005313052533892915,-4.251012152321528,-3.065221997370175,1.185790154951353,0.008519714698195457,0.9946277737617493,0.9861080590635538,-0.2528231821770346,4.211647855287117,4.464471037464151,0.9913239479064941,0.004684667102992535,-0.9866392808035016,4.5038353344985635,-1.14642585791694,-5.6502611924155035
MMdata_1136.50s_0327_183428_2ml,29,145.0,2,4,4,2,2,0,7.76473170844838e-05,0.0007393484702333808,0.000661701153148897,-4.486403798710675,-2.7922295856948587,1.694174213015816,0.004240269307047129,0.9968782663345337,0.9926379970274866,-0.4861987342954306,4.414385003081205,4.900583737376635,0.9956821203231812,0.002382352016866207,-0.993299768306315,4.972602533006104,-1.622155417386348,-6.594757950392452
MMdata_1136.50s_0327_183428_2ml,30,150.0,2,4,4,2,2,0,7.06048813299276e-05,0.0005942906136624515,0.0005236857323325239,-4.514898943002159,-3.293018988882314,1.2218799541198448,0.003817229764536023,0.9924601912498474,0.9886429614853114,-0.5247179797702985,4.127554743975256,4.652272723745554,0.9961121678352356,0.006945516914129257,-0.9891666509211063,5.039616922772456,-0.8345357550929435,-5.8741526778654
MMdata_1136.50s_0327_183428_2ml,31,155.0,2,4,4,2,2,0,0.00010418230522191152,0.0009390586637891829,0.0008348763585672714,-4.391702312540615,-2.757677326106272,1.6340249864343432,0.005754612851887941,0.9955917000770569,0.9898370872251689,-0.38008756462715887,4.208537234724891,4.58862479935205,0.994141161441803,0.0034692557528615,-0.9906719056889415,4.771789877167773,-1.4508599086186198,-6.222649785786393
MMdata_1136.50s_0327_183428_2ml,32,160.0,2,4,4,2,2,0,0.00018894266395363957,0.0006625336245633662,0.0004735909606097266,-4.231760013088624,-2.9806102176934974,1.2511497953951265,0.01178643200546503,0.9959681034088135,0.9841816714033484,-0.09849929795235735,4.334788983040146,4.433288280992503,0.9880246520042419,0.003369443118572235,-0.9846552088856697,4.330259311040981,-1.3541787653466475,-5.684438076387629
MMdata_1136.50s_0327_183428_2ml,33,165.0,2,4,4,2,2,0,7.54068823880516e-05,0.000762327981647104,0.0006869210992590524,-4.4886793768100075,-3.3104527719449344,1.1782266048650731,0.004025619942694902,0.9871304631233215,0.9831048431806266,-0.5111437249922997,3.8557278340273946,4.366871559019694,0.9958989024162292,0.012107187882065773,-0.9837917145341635,4.99982310180231,-0.5452750620824593,-5.545098163884769
MMdata_1136.50s_0327_183428_2ml,34,170.0,2,4,4,2,2,0,7.203214045148343e-05,0.0005861060926690698,0.0005140739522175863,-4.49405829437096,-3.2779506003320087,1.2161076940389517,0.0037320030387490988,0.9929602742195129,0.9892282711807638,-0.5464703327334748,4.156994517373201,4.703464850106676,0.9961960315704346,0.006453691050410271,-0.9897423405200243,5.040528627104435,-0.8790439170411934,-5.919572544145629
MMdata_1136.50s_0327_183428_2ml,35,175.0,2,4,4,2,2,0,9.067279461305588e-05,0.0008010510355234146,0.0007103782409103587,-4.409476589686064,-2.845554971642751,1.563921618043313,0.004592261277139187,0.9959140419960022,0.991321780718863,-0.48460611796155106,4.279936598183304,4.764542716144855,0.9953171014785767,0.0032849214039742947,-0.9920321800746024,4.894082707647614,-1.4343816265405511,-6.3284643341881655
MMdata_1136.50s_0327_183428_2ml,36,180.0,2,4,4,2,2,0,0.00017835816834121943,0.0007347034988924861,0.0005563453305512667,-4.267327600480643,-2.996922827985884,1.270404772494759,0.011684204451739788,0.9949093461036682,0.9832251416519284,-0.08512814894729281,4.2140170596039335,4.299145208551226,0.988137423992157,0.004355939570814371,-0.9837814844213426,4.352455749427937,-1.2170942316180495,-5.569549981045986
MMdata_1136.50s_0327_183428_2ml,37,185.0,2,4,4,2,2,0,7.975922198966146e-05,0.0006565813673660159,0.0005768221453763545,-4.488823288121326,-3.0535509213581733,1.4352723667631526,0.004507879726588726,0.9952217936515808,0.9907139139249921,-0.454253464524804,4.270123350920394,4.724376815445198,0.9954124093055725,0.004121717065572739,-0.9912906922399998,4.943076752646129,-1.2165724295622198,-6.159649182208349
MMdata_1136.50s_0327_183428_2ml,38,190.0,2,4,4,2,2,0,6.513673724839464e-05,0.0005957609391771257,0.000530624201928731,-4.535644232118918,-3.311095945218077,1.2245482869008413,0.0034562074579298496,0.9920321702957153,0.9885759628377855,-0.5642057859579834,4.106575392420185,4.670781178378168,0.9964786171913147,0.007372085936367512,-0.9891065312549472,5.099850018076903,-0.7954794472021085,-5.895329465279011
MMdata_1136.50s_0327_183428_2ml,39,195.0,2,4,4,2,2,0,0.00011276588338660076,0.000983047066256404,0.0008702811828698032,-4.360958868584777,-2.7668517698287305,1.5941070987560462,0.006150426343083382,0.9951070547103882,0.9889566283673048,-0.3619960271780229,4.153096833976988,4.5150928611550105,0.993736743927002,0.0039098868146538734,-0.9898268571123481,4.722954895762799,-1.3862450641482589,-6.109199959911058
