experiment,display_name,group,modality,window_sec,window_accuracy_mean,window_accuracy_std,window_macro_f1_mean,window_macro_f1_std,window_precision_mean,window_precision_std,window_recall_mean,window_recall_std,best_session_method,session_accuracy_mean,session_accuracy_std,session_macro_f1_mean,session_macro_f1_std,session_precision_mean,session_precision_std,session_recall_mean,session_recall_std
hcaf_base_5s,HCAF base audio,main,multimodal,5.0,0.9159205555915833,0.08137091249227524,0.9077110290527344,0.07738441973924637,0.9164490699768066,0.058814942836761475,0.9199536442756653,0.08148165792226791,majority_voting,0.9444444179534912,0.07856743037700653,0.9407407641410828,0.08380524069070816,0.9629629254341125,0.052378274500370026,0.9444444179534912,0.07856743037700653
hcaf_pcen96_highpass80_5s,HCAF + PCEN96 HP80,main,multimodal,5.0,0.8923394680023193,0.07983066886663437,0.8879606127738953,0.0819772481918335,0.92364501953125,0.03851395472884178,0.887540340423584,0.08132800459861755,majority_voting,0.9444444179534912,0.07856743037700653,0.9407407641410828,0.08380524069070816,0.9629629254341125,0.052378274500370026,0.9444444179534912,0.07856743037700653
hcaf_preemphasis_fixed_crop_5s,HCAF + preemphasis + fixed top crop,main,multimodal,5.0,0.8376476168632507,0.1124844178557396,0.815546452999115,0.13744091987609863,0.8553040623664856,0.09858769178390503,0.8637378811836243,0.09486185014247894,majority_voting,0.8888888359069824,0.07856743037700653,0.8814814686775208,0.08380524069070816,0.9259259104728699,0.052378274500370026,0.8888888359069824,0.07856743037700653
hcaf_preemphasis_12k_5s,HCAF + preemphasis 12k,main,multimodal,5.0,0.9109541773796082,0.07218308746814728,0.8941367268562317,0.06734362244606018,0.9330976605415344,0.02974279411137104,0.8896943926811218,0.062014881521463394,majority_voting,0.9444444179534912,0.07856743037700653,0.9407407641410828,0.08380524069070816,0.9629629254341125,0.052378274500370026,0.9444444179534912,0.07856743037700653
