session,window_index,start_sec,expected_label,board_label,prediction_matches,board_prob_0,board_prob_2,board_prob_4,board_prob_max,board_prob_argmax
MMdata_1136.50s_0327_183428_2ml,0,0.0,2,4,,0.00016504491213709116,0.010188953951001167,0.9896460175514221,0.9896460175514221,4
MMdata_1136.50s_0327_183428_2ml,1,5.0,2,4,,7.333025860134512e-05,0.0038565665017813444,0.996070146560669,0.996070146560669,4
MMdata_1136.50s_0327_183428_2ml,2,10.0,2,4,,7.611007458763197e-05,0.004158887080848217,0.995764970779419,0.995764970779419,4
MMdata_1136.50s_0327_183428_2ml,3,15.0,2,4,,9.10798626136966e-05,0.004836731124669313,0.9950721859931946,0.9950721859931946,4
MMdata_1136.50s_0327_183428_2ml,4,20.0,2,4,,0.00017737914458848536,0.011361525394022465,0.9884611368179321,0.9884611368179321,4
MMdata_1136.50s_0327_183428_2ml,5,25.0,2,4,,7.646503217983991e-05,0.0042677028104662895,0.9956557750701904,0.9956557750701904,4
MMdata_1136.50s_0327_183428_2ml,6,30.0,2,4,,7.62939962442033e-05,0.003991674166172743,0.9959320425987244,0.9959320425987244,4
MMdata_1136.50s_0327_183428_2ml,7,35.0,2,4,,8.859562512952834e-05,0.004531227983534336,0.995380163192749,0.995380163192749,4
MMdata_1136.50s_0327_183428_2ml,8,40.0,2,4,,0.0001743265165714547,0.010762615129351616,0.9890630841255188,0.9890630841255188,4
MMdata_1136.50s_0327_183428_2ml,9,45.0,2,4,,7.708474004175514e-05,0.004219832830131054,0.9957030415534973,0.9957030415534973,4
MMdata_1136.50s_0327_183428_2ml,10,50.0,2,4,,7.212186028482392e-05,0.0037088387180119753,0.9962190985679626,0.9962190985679626,4
MMdata_1136.50s_0327_183428_2ml,11,55.0,2,4,,8.188045467250049e-05,0.003923599608242512,0.9959944486618042,0.9959944486618042,4
MMdata_1136.50s_0327_183428_2ml,12,60.0,2,4,,0.00018380465917289257,0.011373304761946201,0.9884428381919861,0.9884428381919861,4
MMdata_1136.50s_0327_183428_2ml,13,65.0,2,4,,7.094888132996857e-05,0.003679645946249366,0.9962493777275085,0.9962493777275085,4
MMdata_1136.50s_0327_183428_2ml,14,70.0,2,4,,7.63994175940752e-05,0.003966060932725668,0.9959575533866882,0.9959575533866882,4
MMdata_1136.50s_0327_183428_2ml,15,75.0,2,4,,8.296408486785367e-05,0.003990874160081148,0.9959261417388916,0.9959261417388916,4
MMdata_1136.50s_0327_183428_2ml,16,80.0,2,4,,0.00016269719344563782,0.009648269042372704,0.9901890158653259,0.9901890158653259,4
MMdata_1136.50s_0327_183428_2ml,17,85.0,2,4,,5.7764580560615286e-05,0.0024324841797351837,0.9975097179412842,0.9975097179412842,4
MMdata_1136.50s_0327_183428_2ml,18,90.0,2,4,,6.026102346368134e-05,0.0029693071264773607,0.9969704151153564,0.9969704151153564,4
MMdata_1136.50s_0327_183428_2ml,19,95.0,2,4,,9.126790973823518e-05,0.004660299979150295,0.9952484965324402,0.9952484965324402,4
MMdata_1136.50s_0327_183428_2ml,20,100.0,2,4,,0.00016665086150169373,0.009440860711038113,0.9903925657272339,0.9903925657272339,4
MMdata_1136.50s_0327_183428_2ml,21,105.0,2,4,,7.946960249682888e-05,0.00440227659419179,0.9955182671546936,0.9955182671546936,4
MMdata_1136.50s_0327_183428_2ml,22,110.0,2,4,,5.124761810293421e-05,0.0023197061382234097,0.9976291060447693,0.9976291060447693,4
MMdata_1136.50s_0327_183428_2ml,23,115.0,2,4,,7.952682062750682e-05,0.0036531684454530478,0.9962673783302307,0.9962673783302307,4
MMdata_1136.50s_0327_183428_2ml,24,120.0,2,4,,0.00016998937644530088,0.009545599110424519,0.9902843832969666,0.9902843832969666,4
MMdata_1136.50s_0327_183428_2ml,25,125.0,2,4,,8.222425094572827e-05,0.004676756449043751,0.9952410459518433,0.9952410459518433,4
MMdata_1136.50s_0327_183428_2ml,26,130.0,2,4,,6.164252408780158e-05,0.003029183018952608,0.9969092011451721,0.9969092011451721,4
MMdata_1136.50s_0327_183428_2ml,27,135.0,2,4,,0.00010256631503580138,0.005596153903752565,0.9943013191223145,0.9943013191223145,4
MMdata_1136.50s_0327_183428_2ml,28,140.0,2,4,,0.0001591335458215326,0.008835447020828724,0.9910054206848145,0.9910054206848145,4
