session,window_index,start_sec,expected_label,board_label,prediction_matches,board_prob_0,board_prob_2,board_prob_4,board_prob_max,board_prob_argmax
MMdata_1136.50s_0327_183428_2ml,0,0.0,2,4,,0.00018095389532390982,0.011370142921805382,0.9884489178657532,0.9884489178657532,4
MMdata_1136.50s_0327_183428_2ml,1,5.0,2,4,,0.00015219775377772748,0.013109585270285606,0.9867382049560547,0.9867382049560547,4
MMdata_1136.50s_0327_183428_2ml,2,10.0,2,4,,9.909957589115947e-05,0.007075563073158264,0.9928253889083862,0.9928253889083862,4
MMdata_1136.50s_0327_183428_2ml,3,15.0,2,4,,0.00013892143033444881,0.01139906607568264,0.9884620904922485,0.9884620904922485,4
MMdata_1136.50s_0327_183428_2ml,4,20.0,2,4,,0.00015315518248826265,0.01247636042535305,0.987370491027832,0.987370491027832,4
MMdata_1136.50s_0327_183428_2ml,5,25.0,2,4,,0.00011787957919295877,0.00901076104491949,0.9908713698387146,0.9908713698387146,4
MMdata_1136.50s_0327_183428_2ml,6,30.0,2,4,,9.401137504028156e-05,0.006061104591935873,0.9938448667526245,0.9938448667526245,4
MMdata_1136.50s_0327_183428_2ml,7,35.0,2,4,,0.00011324363003950566,0.00832919217646122,0.9915575981140137,0.9915575981140137,4
MMdata_1136.50s_0327_183428_2ml,8,40.0,2,4,,0.00011530290794325992,0.007135296706110239,0.9927493333816528,0.9927493333816528,4
MMdata_1136.50s_0327_183428_2ml,9,45.0,2,4,,0.0001185988076031208,0.008875591680407524,0.9910058975219727,0.9910058975219727,4
MMdata_1136.50s_0327_183428_2ml,10,50.0,2,4,,9.502752072876319e-05,0.0063056061044335365,0.9935994148254395,0.9935994148254395,4
MMdata_1136.50s_0327_183428_2ml,11,55.0,2,4,,0.00010901842324528843,0.00783932488411665,0.9920516014099121,0.9920516014099121,4
MMdata_1136.50s_0327_183428_2ml,12,60.0,2,4,,0.00015618125326000154,0.011332344263792038,0.9885114431381226,0.9885114431381226,4
MMdata_1136.50s_0327_183428_2ml,13,65.0,2,4,,0.0001177105150418356,0.009182809852063656,0.9906994700431824,0.9906994700431824,4
MMdata_1136.50s_0327_183428_2ml,14,70.0,2,4,,9.440132998861372e-05,0.00605742959305644,0.9938481450080872,0.9938481450080872,4
MMdata_1136.50s_0327_183428_2ml,15,75.0,2,4,,0.00010851087426999584,0.007798456586897373,0.992093026638031,0.992093026638031,4
MMdata_1136.50s_0327_183428_2ml,16,80.0,2,4,,0.00013529261923395097,0.009502539411187172,0.9903621673583984,0.9903621673583984,4
MMdata_1136.50s_0327_183428_2ml,17,85.0,2,4,,0.00012794931535609066,0.009487805888056755,0.9903842210769653,0.9903842210769653,4
MMdata_1136.50s_0327_183428_2ml,18,90.0,2,4,,8.241442264989018e-05,0.005230364855378866,0.9946871995925903,0.9946871995925903,4
MMdata_1136.50s_0327_183428_2ml,19,95.0,2,4,,0.00010693907097447664,0.007519817445427179,0.9923731684684753,0.9923731684684753,4
MMdata_1136.50s_0327_183428_2ml,20,100.0,2,4,,0.00014177573029883206,0.009571432135999203,0.9902867078781128,0.9902867078781128,4
MMdata_1136.50s_0327_183428_2ml,21,105.0,2,4,,0.00012796335795428604,0.010332665406167507,0.9895393252372742,0.9895393252372742,4
MMdata_1136.50s_0327_183428_2ml,22,110.0,2,4,,8.167540363501757e-05,0.005219855345785618,0.9946985244750977,0.9946985244750977,4
MMdata_1136.50s_0327_183428_2ml,23,115.0,2,4,,0.0001175221914309077,0.008329492062330246,0.991553008556366,0.991553008556366,4
MMdata_1136.50s_0327_183428_2ml,24,120.0,2,4,,0.00013610621681436896,0.00882536731660366,0.9910385608673096,0.9910385608673096,4
