session,window_index,start_sec,expected_label,board_label,prediction_matches,board_prob_0,board_prob_2,board_prob_4,board_prob_max,board_prob_argmax
MMdata_1136.50s_0327_183428_2ml,0,0.0,2,4,,0.00017655690317042172,0.0110068554058671,0.9888166189193726,0.9888166189193726,4
MMdata_1136.50s_0327_183428_2ml,1,5.0,2,4,,0.00015243997040670365,0.013159751892089844,0.9866878390312195,0.9866878390312195,4
MMdata_1136.50s_0327_183428_2ml,2,10.0,2,4,,9.648917330196127e-05,0.006732517387717962,0.993170976638794,0.993170976638794,4
MMdata_1136.50s_0327_183428_2ml,3,15.0,2,4,,0.0001384030911140144,0.011329571716487408,0.9885320663452148,0.9885320663452148,4
MMdata_1136.50s_0327_183428_2ml,4,20.0,2,4,,0.0001514450996182859,0.012248215265572071,0.9876003265380859,0.9876003265380859,4
MMdata_1136.50s_0327_183428_2ml,5,25.0,2,4,,0.00011755751620512456,0.008958820253610611,0.9909235835075378,0.9909235835075378,4
MMdata_1136.50s_0327_183428_2ml,6,30.0,2,4,,9.042973397299647e-05,0.0056413765996694565,0.9942681789398193,0.9942681789398193,4
MMdata_1136.50s_0327_183428_2ml,7,35.0,2,4,,0.00011529728362802416,0.00861414335668087,0.9912705421447754,0.9912705421447754,4
MMdata_1136.50s_0327_183428_2ml,8,40.0,2,4,,0.00011508019815664738,0.007146293297410011,0.992738664150238,0.992738664150238,4
MMdata_1136.50s_0327_183428_2ml,9,45.0,2,4,,0.00012168081593699753,0.009280571714043617,0.9905977845191956,0.9905977845191956,4
MMdata_1136.50s_0327_183428_2ml,10,50.0,2,4,,9.18754085432738e-05,0.005917977541685104,0.9939901828765869,0.9939901828765869,4
MMdata_1136.50s_0327_183428_2ml,11,55.0,2,4,,0.0001086275078705512,0.007781811989843845,0.9921095967292786,0.9921095967292786,4
MMdata_1136.50s_0327_183428_2ml,12,60.0,2,4,,0.00015421285934280604,0.011101902462542057,0.9887439012527466,0.9887439012527466,4
MMdata_1136.50s_0327_183428_2ml,13,65.0,2,4,,0.0001198453683173284,0.009488608688116074,0.9903914928436279,0.9903914928436279,4
MMdata_1136.50s_0327_183428_2ml,14,70.0,2,4,,9.227616828866303e-05,0.005803894717246294,0.9941038489341736,0.9941038489341736,4
MMdata_1136.50s_0327_183428_2ml,15,75.0,2,4,,0.00010751021181931719,0.0076703764498233795,0.9922221302986145,0.9922221302986145,4
MMdata_1136.50s_0327_183428_2ml,16,80.0,2,4,,0.00012949442316312343,0.008795847184956074,0.9910747408866882,0.9910747408866882,4
MMdata_1136.50s_0327_183428_2ml,17,85.0,2,4,,0.0001295434049097821,0.0097030159085989,0.9901673793792725,0.9901673793792725,4
MMdata_1136.50s_0327_183428_2ml,18,90.0,2,4,,7.991369056981057e-05,0.00493498845025897,0.9949851036071777,0.9949851036071777,4
MMdata_1136.50s_0327_183428_2ml,19,95.0,2,4,,0.00011021197133231908,0.00794922187924385,0.9919405579566956,0.9919405579566956,4
MMdata_1136.50s_0327_183428_2ml,20,100.0,2,4,,0.00014161007129587233,0.009564078412950039,0.990294337272644,0.990294337272644,4
MMdata_1136.50s_0327_183428_2ml,21,105.0,2,4,,0.00012848769256379455,0.010419073514640331,0.9894523620605469,0.9894523620605469,4
MMdata_1136.50s_0327_183428_2ml,22,110.0,2,4,,7.836453733034432e-05,0.004834664985537529,0.9950869679450989,0.9950869679450989,4
MMdata_1136.50s_0327_183428_2ml,23,115.0,2,4,,0.0001183967397082597,0.008443833328783512,0.9914378523826599,0.9914378523826599,4
MMdata_1136.50s_0327_183428_2ml,24,120.0,2,4,,0.0001347110519418493,0.008687817491590977,0.991177499294281,0.991177499294281,4
MMdata_1136.50s_0327_183428_2ml,25,125.0,2,4,,0.00013237688108347356,0.010720569640398026,0.9891470670700073,0.9891470670700073,4
MMdata_1136.50s_0327_183428_2ml,26,130.0,2,4,,8.643278124509379e-05,0.005403618328273296,0.9945099353790283,0.9945099353790283,4
MMdata_1136.50s_0327_183428_2ml,27,135.0,2,4,,0.00010703193402150646,0.0074372016824781895,0.9924557209014893,0.9924557209014893,4
MMdata_1136.50s_0327_183428_2ml,28,140.0,2,4,,0.0001253456575796008,0.00815177895128727,0.9917228817939758,0.9917228817939758,4
