experiment,display_name,best_session_method,window_macro_f1_mean,window_macro_f1_std,session_macro_f1_mean,session_macro_f1_std,session_accuracy_mean,session_accuracy_std
audio_preemphasis_16k,preemphasis 16k,majority_voting,0.8638513684272766,0.0550621822476387,0.8814814686775208,0.08380524069070816,0.8888888359069824,0.07856743037700653
audio_preemphasis_12k,preemphasis 12k,majority_voting,0.8534102439880371,0.10366623103618622,0.8814814686775208,0.08380524069070816,0.8888888359069824,0.07856743037700653
audio_preemphasis_8k,preemphasis 8k,majority_voting,0.6958897709846497,0.22577625513076782,0.7449734807014465,0.2459082454442978,0.7777777314186096,0.20786985754966736
audio_preemphasis_adaptive_crop,preemphasis + adaptive top crop,majority_voting,0.69195157289505,0.12507212162017822,0.7407407760620117,0.18885256350040436,0.7777778506278992,0.15713483095169067
audio_preemphasis_fixed_crop,preemphasis + fixed top crop,majority_voting,0.8027264475822449,0.1437436044216156,0.8814814686775208,0.08380524069070816,0.8888888359069824,0.07856743037700653
audio_pcen96_hp80,PCEN96 HP80,mean_probability_pooling,0.6074272990226746,0.0986238345503807,0.7925925850868225,0.18264929950237274,0.8333333134651184,0.1360827535390854
audio_pcen96_hp80_adaptive_crop,PCEN96 HP80 + adaptive top crop,majority_voting,0.5821452736854553,0.13949446380138397,0.7259259223937988,0.13618351519107819,0.7777777314186096,0.07856740057468414
