experiment,display_name,group,modality,window_sec,window_accuracy_mean,window_accuracy_std,window_macro_f1_mean,window_macro_f1_std,window_precision_mean,window_precision_std,window_recall_mean,window_recall_std,best_session_method,session_accuracy_mean,session_accuracy_std,session_macro_f1_mean,session_macro_f1_std,session_precision_mean,session_precision_std,session_recall_mean,session_recall_std
hcaf_confgate_residual_base_5s,HCAF confgate+residual base,main,multimodal,5.0,0.8882277607917786,0.06248754635453224,0.8671329617500305,0.05472986400127411,0.9034866690635681,0.025320274755358696,0.8726833462715149,0.05393967777490616,majority_voting,0.8888888359069824,0.07856743037700653,0.8814814686775208,0.08380524069070816,0.9259259104728699,0.052378274500370026,0.8888888359069824,0.07856743037700653
hcaf_confgate_residual_preemphasis16k_5s,HCAF confgate+residual + preemphasis 16k,main,multimodal,5.0,0.8778389096260071,0.05227739363908768,0.8541068434715271,0.04045597463846207,0.8789129853248596,0.03442639485001564,0.868293046951294,0.05627242848277092,majority_voting,0.8888888359069824,0.07856743037700653,0.8814814686775208,0.08380524069070816,0.9259259104728699,0.052378274500370026,0.8888888359069824,0.07856743037700653
hcaf_confgate_residual_preemphasis12k_5s,HCAF confgate+residual + preemphasis 12k,main,multimodal,5.0,0.8443939685821533,0.08508411794900894,0.770503580570221,0.14944349229335785,0.7780612111091614,0.18204611539840698,0.8113844990730286,0.12499207258224487,majority_voting,0.8333333134651184,0.1360827535390854,0.7925925850868225,0.18264929950237274,0.7962962985038757,0.2143673598766327,0.8333333134651184,0.1360827535390854
hcaf_confgate_residual_pcen96hp80_5s,HCAF confgate+residual + PCEN96 HP80,main,multimodal,5.0,0.9303105473518372,0.019668573513627052,0.9206768870353699,0.02608495205640793,0.9434616565704346,0.018530286848545074,0.9105157852172852,0.02588632144033909,majority_voting,0.9444444179534912,0.07856743037700653,0.9407407641410828,0.08380524069070816,0.9629629254341125,0.052378274500370026,0.9444444179534912,0.07856743037700653
