experiment,display_name,group,modality,window_sec,window_accuracy_mean,window_accuracy_std,window_macro_f1_mean,window_macro_f1_std,window_precision_mean,window_precision_std,window_recall_mean,window_recall_std,best_session_method,session_accuracy_mean,session_accuracy_std,session_macro_f1_mean,session_macro_f1_std,session_precision_mean,session_precision_std,session_recall_mean,session_recall_std
hcaf_confgate_residual_full_5s,HCAF full multimodal,main,multimodal,5.0,0.833736002445221,0.12047075480222702,0.8065478205680847,0.14885295927524567,0.8699154853820801,0.11097020655870438,0.8065695762634277,0.1522318720817566,mean_probability_pooling,0.8333333134651184,0.1360827535390854,0.82962965965271,0.13618351519107819,0.9074073433876038,0.06928995996713638,0.8333333134651184,0.1360827535390854
hcaf_confgate_residual_minus_audio_5s,HCAF without audio,main,multimodal,5.0,0.7260394096374512,0.16071146726608276,0.7028029561042786,0.20520171523094177,0.7257351279258728,0.20598070323467255,0.748081386089325,0.14829397201538086,majority_voting,0.8333333134651184,0.235702246427536,0.8042327761650085,0.27685660123825073,0.8222222328186035,0.2514157295227051,0.8333333134651184,0.235702246427536
hcaf_confgate_residual_minus_pressure_5s,HCAF without pressure,main,multimodal,5.0,0.8958122730255127,0.07797227799892426,0.8662179112434387,0.09101138263940811,0.91219562292099,0.0591052770614624,0.8600477576255798,0.09680099785327911,majority_voting,0.8888888359069824,0.07856743037700653,0.8814814686775208,0.08380524069070816,0.9259259104728699,0.052378274500370026,0.8888888359069824,0.07856743037700653
hcaf_confgate_residual_minus_flow_5s,HCAF without flow,main,multimodal,5.0,0.7727959752082825,0.06363783031702042,0.72662752866745,0.11301153153181076,0.7692179679870605,0.07630237191915512,0.7370383143424988,0.1487797051668167,majority_voting,0.7777777314186096,0.07856740057468414,0.7026455402374268,0.08675957471132278,0.7592592239379883,0.06928993761539459,0.75,0.12627947330474854
hcaf_confgate_residual_audio_only_5s,HCAF audio only,main,multimodal,5.0,0.6868739128112793,0.08280734717845917,0.6255454421043396,0.11253375560045242,0.7128995060920715,0.1244182288646698,0.6934361457824707,0.12389149516820908,mean_probability_pooling,0.8333333134651184,0.0,0.7386243343353271,0.13192333281040192,0.7685185074806213,0.15438270568847656,0.7685185074806213,0.13289538025856018
