experiment,display_name,group,modality,window_sec,window_accuracy_mean,window_accuracy_std,window_macro_f1_mean,window_macro_f1_std,window_precision_mean,window_precision_std,window_recall_mean,window_recall_std,best_session_method,session_accuracy_mean,session_accuracy_std,session_macro_f1_mean,session_macro_f1_std,session_precision_mean,session_precision_std,session_recall_mean,session_recall_std
audio_only_5s,Audio-only,main,audio_only,5.0,0.7182421088218689,0.2284306436777115,0.6537180542945862,0.29482701420783997,0.7690689563751221,0.16105732321739197,0.7149847149848938,0.25034239888191223,majority_voting,0.7222222685813904,0.2832788825035095,0.6629629731178284,0.35836082696914673,0.6666666865348816,0.39544734358787537,0.7222222685813904,0.2832788825035095
pressure_flow_5s,Pressure+Flow-only,main,pressure_flow,5.0,0.9178449511528015,0.05760383605957031,0.9218235015869141,0.04954080656170845,0.9374470710754395,0.027230599895119667,0.9280460476875305,0.048986390233039856,majority_voting,0.9444444179534912,0.07856743037700653,0.9407407641410828,0.08380524069070816,0.9629629254341125,0.052378274500370026,0.9444444179534912,0.07856743037700653
gated_baseline_5s,Gated Fusion Baseline,main,multimodal,5.0,0.7219526171684265,0.20105363428592682,0.6479372382164001,0.2960098385810852,0.6616577506065369,0.33281928300857544,0.6915574669837952,0.26317161321640015,majority_voting,0.7222221493721008,0.28327885270118713,0.6814815402030945,0.33275672793388367,0.6851851940155029,0.36944326758384705,0.7222221493721008,0.28327885270118713
hcaf_net_5s,HCAF-Net,main,multimodal,5.0,0.7919906973838806,0.2564384341239929,0.776090145111084,0.27499642968177795,0.8285676836967468,0.1966235190629959,0.7845752835273743,0.2720547914505005,majority_voting,0.7777778506278992,0.31426969170570374,0.7592592239379883,0.34045881032943726,0.75,0.3535533845424652,0.7777778506278992,0.31426969170570374
hcaf_net_10s,HCAF-Net 10 s,window,multimodal,10.0,0.6409794688224792,0.11867765337228775,0.5784639716148376,0.13712632656097412,0.6830312609672546,0.11029962450265884,0.6199133992195129,0.1394636332988739,majority_voting,0.6111111640930176,0.07856743037700653,0.5449735522270203,0.10395176708698273,0.5444445013999939,0.08748898655176163,0.6111111640930176,0.07856743037700653
hcaf_net_minus_audio_5s,HCAF-Net without audio,ablation,multimodal_minus_audio,5.0,0.8315238356590271,0.11991910636425018,0.7814324498176575,0.17324909567832947,0.7915372848510742,0.16259600222110748,0.8106334209442139,0.16131874918937683,majority_voting,0.8333333134651184,0.235702246427536,0.8042327761650085,0.27685660123825073,0.8222222328186035,0.2514157295227051,0.8333333134651184,0.235702246427536
hcaf_net_minus_pressure_5s,HCAF-Net without pressure,ablation,multimodal_minus_pressure,5.0,0.6852386593818665,0.1786777228116989,0.5968683362007141,0.22909119725227356,0.6314544081687927,0.19878633320331573,0.672741174697876,0.20451021194458008,majority_voting,0.7222222685813904,0.20786985754966736,0.6560846567153931,0.2500804662704468,0.6555555462837219,0.2439388781785965,0.7222222685813904,0.20786985754966736
hcaf_net_minus_flow_5s,HCAF-Net without flow,ablation,multimodal_minus_flow,5.0,0.7347376942634583,0.1398608386516571,0.6796782612800598,0.179030179977417,0.74239182472229,0.16556179523468018,0.7234435081481934,0.15540248155593872,majority_voting,0.7222222685813904,0.20786985754966736,0.6560846567153931,0.2500804662704468,0.6555555462837219,0.2439388781785965,0.7222222685813904,0.20786985754966736
