experiment,display_name,group,modality,window_sec,window_accuracy_mean,window_accuracy_std,window_macro_f1_mean,window_macro_f1_std,window_precision_mean,window_precision_std,window_recall_mean,window_recall_std,best_session_method,session_accuracy_mean,session_accuracy_std,session_macro_f1_mean,session_macro_f1_std,session_precision_mean,session_precision_std,session_recall_mean,session_recall_std
audio_only_pcen96hp80_5s,Audio-only PCEN96 HP80,main,audio_only,5.0,0.5649124383926392,0.10509508103132248,0.5586104989051819,0.1186908707022667,0.674938976764679,0.09407666325569153,0.6041432023048401,0.10775773972272873,mean_probability_pooling,0.6111111044883728,0.15713481605052948,0.5597884058952332,0.18602079153060913,0.6185185313224792,0.1916644275188446,0.6111111044883728,0.15713481605052948
pressure_flow_5s,Pressure+Flow-only,main,pressure_flow,5.0,0.9382614493370056,0.04512202367186546,0.9357102513313293,0.04102326184511185,0.9469918608665466,0.0208442322909832,0.9380257725715637,0.04618455469608307,majority_voting,0.9444444179534912,0.07856743037700653,0.9407407641410828,0.08380524069070816,0.9629629254341125,0.052378274500370026,0.9444444179534912,0.07856743037700653
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_5s,HCAF-PCEN-DualXAttn,main,multimodal,5.0,0.883275032043457,0.053082000464200974,0.8647398948669434,0.04735541716217995,0.9000337719917297,0.03670046105980873,0.8670433163642883,0.04356810078024864,majority_voting,0.8888888359069824,0.07856743037700653,0.8814814686775208,0.08380524069070816,0.9259259104728699,0.052378274500370026,0.8888888359069824,0.07856743037700653
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_audio_5s,HCAF final compressed without audio,ablation,multimodal_minus_audio,5.0,0.8663439154624939,0.07241269201040268,0.8611321449279785,0.0734066441655159,0.9013681411743164,0.04513486102223396,0.8601474761962891,0.08093087375164032,majority_voting,0.8333333134651184,0.1360827535390854,0.825925886631012,0.14064323902130127,0.8703703880310059,0.1141558289527893,0.8333333134651184,0.1360827535390854
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_pressure_5s,HCAF final compressed without pressure,ablation,multimodal_minus_pressure,5.0,0.9131491780281067,0.03521028533577919,0.9121551513671875,0.03037448041141033,0.9294622540473938,0.010120660066604614,0.9136919379234314,0.03643085062503815,majority_voting,0.9444444179534912,0.07856743037700653,0.9407407641410828,0.08380524069070816,0.9629629254341125,0.052378274500370026,0.9444444179534912,0.07856743037700653
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_minus_flow_5s,HCAF final compressed without flow,ablation,multimodal_minus_flow,5.0,0.9126059412956238,0.03950491175055504,0.904538631439209,0.036238715052604675,0.9187217354774475,0.02253085747361183,0.9022244811058044,0.04148497432470322,majority_voting,0.8888888359069824,0.07856743037700653,0.8814814686775208,0.08380524069070816,0.9259259104728699,0.052378274500370026,0.8888888359069824,0.07856743037700653
hcaf_confgate_residual_pcen96hp80_sa0_nosummary_audio_only_5s,HCAF final compressed audio only,ablation,multimodal,5.0,0.71333247423172,0.04428645595908165,0.6908154487609863,0.03769029304385185,0.7610583305358887,0.01273107249289751,0.7040305137634277,0.04197567328810692,majority_voting,0.7777777314186096,0.07856740057468414,0.7333333492279053,0.12570786476135254,0.7592592239379883,0.18332397937774658,0.7777777314186096,0.07856740057468414
