experiment,display_name,group,modality,window_sec,window_accuracy_mean,window_accuracy_std,window_macro_f1_mean,window_macro_f1_std,window_precision_mean,window_precision_std,window_recall_mean,window_recall_std,best_session_method,session_accuracy_mean,session_accuracy_std,session_macro_f1_mean,session_macro_f1_std,session_precision_mean,session_precision_std,session_recall_mean,session_recall_std
hcaf_base_5s,HCAF base audio,main,multimodal,5.0,0.6883504986763,0.1194683313369751,0.6194341778755188,0.16269919276237488,0.6751604676246643,0.19888456165790558,0.6931288242340088,0.1255500465631485,majority_voting,0.7222222685813904,0.20786985754966736,0.6629629731178284,0.2434885948896408,0.6296296119689941,0.265790730714798,0.7222222685813904,0.20786985754966736
hcaf_preemphasis_5s,HCAF + preemphasis,main,multimodal,5.0,0.6835999488830566,0.2201734185218811,0.5737717747688293,0.2859725058078766,0.6868653893470764,0.17483089864253998,0.6411887407302856,0.2324834167957306,majority_voting,0.7222222685813904,0.2832788825035095,0.6629629731178284,0.35836082696914673,0.6666666865348816,0.39544734358787537,0.7222222685813904,0.2832788825035095
hcaf_pcen96_highpass80_5s,HCAF + PCEN96 HP80,main,multimodal,5.0,0.8259365558624268,0.1212606206536293,0.775469958782196,0.16739386320114136,0.8892958164215088,0.06619246304035187,0.7834649682044983,0.1559482216835022,logit_averaging,0.8333333134651184,0.1360827535390854,0.7925925850868225,0.18264929950237274,0.7962962985038757,0.2143673598766327,0.8333333134651184,0.1360827535390854
